Дата,Минуты активности,Калории (ккал),Дистанция (м),Баллы кардиотренировок,Минуты кардиотренировок,Средний пульс (уд/мин),Макс. пульс (уд/мин),Мин. пульс (уд/мин),Средняя скорость (м/с),Макс. скорость (м/с),Мин. скорость (м/с),Число шагов,Средний вес (кг),Макс. вес (кг),Мин. вес (кг),Продолжительность: Велосипед (мс),Продолжительность: Ходьба (мс),Продолжительность: Бег (мс),Продолжительность: Прочее (мс)
2023-12-22,184,2023.168920851539,8645.02797212003,17.0,17,,,,0.5997817276559323,1.7702907785338875,0.2501575156369456,13257,,,,,8230001,,
2023-12-23,46,1716.1023806038959,2408.3221245386458,9.0,9,,,,0.3537139676313889,1.9555026963289512,0.27289910796757705,3513,,,,,2485401,,
2023-12-24,59,1855.3450782037019,7774.347258685339,100.0,53,,,,1.0415634232430924,2.684227101702347,0.2615283118022613,8853,,,,,3545553,,
2023-12-25,,1583.2499642372131,79.82298908051628,,,,,,0.276999456930557,0.3411238793254253,0.2615283118022613,190,,,,,,,
2023-12-26,88,1934.2834613669786,9325.416874744067,112.0,63,,,,0.5375612290320263,2.677876470143078,0.25579723684064576,11050,,,,,5060968,,
2023-12-27,88,1836.8754797401825,5078.901002311343,27.0,27,,,,0.511092870397183,2.2113415055577064,0.2501575156369456,7064,,,,,4744822,,
2023-12-28,43,1725.3143856085817,2298.618140768789,10.0,9,,,,0.45439009107214107,1.8281374398064136,0.2615283118022613,3345,,,,,2657739,,
2023-12-29,138,2146.5551196210904,12484.586520178103,128.0,82,,,,0.7823636017649155,2.6883416476206325,0.2501575156369456,15358,,,,,9194468,,
2023-12-30,2,1589.672784880699,233.3287373122784,,,,,,0.3144458990593342,0.5091401407829317,0.2501575156369456,549,,,,,120158,,
2023-12-31,83,1963.1250628345956,9251.228818158386,102.0,56,,,,0.6878635003676469,2.7238863417705663,0.2956407002982085,10767,,,,,5128334,135385,
2024-01-01,80,1809.8976110832182,5325.609127250708,34.0,34,,,,0.5908522381089089,1.725299778669167,0.27289910796757705,7349,,,,,4240121,,
2024-01-02,60,1770.027587483985,2993.1520190134424,9.0,9,,,,0.4510192049733548,1.6820965161228574,0.2615283118022613,4450,,,,,3494234,,
2024-01-03,9,1602.5059216266586,403.3213803695865,,,,,,0.39645208772256113,1.577576191957773,0.28426990413289277,738,,,,,359543,,
2024-01-04,145,2057.4987739987646,12361.41097823153,128.0,80,,,,0.9055318164166858,2.66511905059183,0.2673733939838236,15069,,,,,7375748,,
2024-01-05,96,1899.7304875036646,6312.496540170186,44.0,41,,,,0.6747867526085557,2.5575732834986424,0.30701149646352416,8527,,,,,5913463,,
2024-01-06,17,1626.9853948845307,848.4700938480727,2.0,2,,,,0.38526319077047316,1.801348405074225,0.2956407002982085,1350,,,,,818202,,
2024-01-07,15,1621.2186813749788,752.2088014146103,3.0,3,,,,0.35530711347040284,1.8984088088667874,0.27289910796757705,1175,,,,,710318,,
2024-01-08,57,1719.036336020827,3505.032466667487,23.0,16,,,,0.5394090434027271,2.4220243375718074,0.2665935870412893,4695,,,,,2540288,,
2024-01-09,10,1597.59350574217,474.64626130585685,2.0,2,,,,0.3901439836502466,1.7800921968687486,0.34112385191655553,817,,,,,60174,90213,
2024-01-10,96,1973.0846057208678,8990.969503554677,94.0,55,,,,0.8082406755880185,2.8951292290577904,0.24736192612465582,10783,,,,,5855155,120105,
2024-01-11,73,1786.7767230721674,4351.368653413619,28.0,23,,,,0.5561225133713323,2.2453431610857155,0.2501575156369456,5891,,,,,3750031,,
2024-01-12,42,1714.064526488592,2624.9673509869217,16.0,16,,,,0.48108769470401663,1.7503604070986218,0.2501575156369456,3685,,,,,2447277,,
2024-01-13,,1583.2499642372131,17.73844201789251,,,,,,0.2501575156369456,0.2501575156369456,0.2501575156369456,61,,,,,,,
2024-01-14,21,1661.6408435161181,1333.9125520521868,4.0,4,,,,0.3832287615799565,1.672254097252957,0.28426990413289277,2077,,,,,1466535,,
2024-01-15,39,1703.7234847449881,2186.9400049112173,10.0,10,,,,0.4849536241585981,1.8583509961982707,0.2615283118022613,3165,,,,,2253817,,
2024-01-16,109,1935.8553743011191,8092.976320937774,75.0,75,,,,0.49654819043571075,1.836026658606322,0.2501575156369456,10831,,,,,6596533,,
