name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Warszaw,2023-06-06,26.4,11.6,20.5,26.4,11.6,20.5,6,41.7,0,0,0,,0,0,28.8,15.5,114.1,1019.7,63.1,19.1,273.6,23.7,8,10,2023-06-06T04:17:29,2023-06-06T20:52:20,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-07,26.8,15.9,21.5,26.6,15.9,21.5,8.9,45.9,0.869,100,4.17,rain,0,0,36.1,17.6,98.5,1017.4,38.6,18.8,272.3,23.7,9,10,2023-06-07T04:16:55,2023-06-07T20:53:15,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-08,26.5,12.5,20.2,26.5,12.5,20.2,10.9,58.6,0,0,0,,0,0,43.2,20.4,102.7,1017.1,16.3,18,302,26,8,10,2023-06-08T04:16:24,2023-06-08T20:54:07,0.65,Clear,Clear conditions throughout the day.,clear-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-09,27,13.9,21.6,26.6,13.9,21.6,12,56.6,0,0,0,,0,0,36,22.5,89.3,1015.3,41.4,18.9,293.3,25.5,8,10,2023-06-09T04:15:55,2023-06-09T20:54:56,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-10,25.4,17.6,21.5,25.4,17.6,21.5,10,49.1,0,0,0,,0,0.1,39.6,22.1,58,1017.1,64.1,19.1,300.2,26.1,8,10,2023-06-10T04:15:30,2023-06-10T20:55:43,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-11,23.5,14.5,19,23.5,14.5,19,6.7,46.5,0,0,0,,0,0,43.2,26.3,70,1021.4,23.4,19.2,300,26,8,10,2023-06-11T04:15:08,2023-06-11T20:56:27,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-12,21.4,12,16.8,21.4,12,16.8,4.2,46.1,0,0,0,rain,0,0,64.8,31.7,76.3,1021.5,40.3,19.1,261.4,22.5,8,10,2023-06-12T04:14:50,2023-06-12T20:57:08,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-13,16.2,9.5,12.1,16.2,7.7,11.7,9.3,83.8,0.58,100,8.33,rain,0,0,28.1,19.5,75.9,1018.6,87,15,81.3,7,3,10,2023-06-13T04:14:34,2023-06-13T20:57:46,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-14,19.6,12,15.6,19.6,12,15.6,11.1,76.4,4.153,100,8.33,rain,0,0,32.4,18.6,34.4,1017.2,73.2,16.7,155.2,13.5,6,10,2023-06-14T04:14:22,2023-06-14T20:58:22,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-15,22,13.7,17.3,22,13.7,17.3,11.8,72.1,0.579,100,4.17,rain,0,0,28.1,11,251.1,1016,58.2,17,267.8,23,8,10,2023-06-15T04:14:12,2023-06-15T20:58:55,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-16,24.3,10.7,18.6,24.3,10.7,18.6,10.7,63.4,0,0,0,rain,0,0,22.3,13.7,134,1014.1,58.2,17.1,207.7,18,7,10,2023-06-16T04:14:06,2023-06-16T20:59:24,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-17,23.5,14.5,19.3,23.5,14.5,19.3,13,68.8,0.676,100,4.17,rain,0,0,27.7,13.5,324.3,1011.4,75.9,16.5,193.6,16.6,7,10,2023-06-17T04:14:03,2023-06-17T20:59:51,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-18,21.4,14.8,17.9,21.4,14.8,17.9,14.2,79.4,14.487,100,4.17,rain,0,0,15.1,14.7,256.6,1013.8,69.5,13.9,147.3,12.9,4,10,2023-06-18T04:14:04,2023-06-18T21:00:14,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-19,26.6,11.9,19.9,26.6,11.9,19.9,12.1,65.2,0,0,0,,0,0,36,8.3,210.4,1015.5,41.1,15.8,278.5,24,8,10,2023-06-19T04:14:07,2023-06-19T21:00:35,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-20,28.8,14.9,23,28.1,14.9,22.9,13.4,58.4,0,0,0,,0,0,16.9,9,108.3,1016.2,59,17,237.8,20.6,8,10,2023-06-20T04:14:14,2023-06-20T21:00:52,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-21,28.4,17.4,22.7,28.3,17.4,22.7,16.1,68.4,3.863,100,8.33,rain,0,0,31,15.8,135.9,1016.2,73.6,15.9,154.9,13.3,6,10,2023-06-21T04:14:24,2023-06-21T21:01:06,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-22,27.8,18.3,23,27.6,18.3,23,16,68.7,0,0,0,,0,0,34.9,18.4,293.3,1017.2,62.1,13.9,276.2,24.1,8,10,2023-06-22T04:14:37,2023-06-22T21:01:17,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-23,24.3,17.5,21.2,24.3,17.5,21.2,14.6,66.5,1.932,100,4.17,rain,0,0,39.6,20.5,66,1014.6,65.5,18.4,125.2,11,5,10,2023-06-23T04:14:53,2023-06-23T21:01:25,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
Warszaw,2023-06-24,23.1,16.7,20,23.1,16.7,20,12.7,63.6,0,0,0,,0,0,36,19.6,295.4,1018.5,70.1,18.9,174.5,14.9,6,10,2023-06-24T04:15:12,2023-06-24T21:01:29,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12376099999,EPWA,12105699999,12375099999,12105199999,E1334,EPMO"
